,PropertyAddress,LAT,LON
83,"019XX W BLOOMINGDALE AVE, Chicago, IL",41.9132553,-87.7481181
84,"100XX W BRYN MAWR AVE, Chicago, IL",41.98316639999999,-87.71334809999999
85,"039XX S CALIFORNIA AVE, Chicago, IL",41.7863947,-87.6936046
86,"0000X W DIVISION ST, Chicago, IL",41.9035009,-87.6741096
87,"065XX S HERMITAGE AVE, Chicago, IL",41.7798925,-87.66786429999999
88,"057XX S PAULINA ST, Chicago, IL",41.8040089,-87.667287
89,"039XX W MONROE ST, Chicago, IL",41.8801563,-87.6962583
90,"027XX W CONGRESS PKWY, Chicago, IL",41.8748958,-87.6961278
91,"006XX W OHARE ST, Chicago, IL",41.9781275,-87.88357169999999
92,"053XX S CARPENTER ST, Chicago, IL",41.7359575,-87.649703
93,"033XX W FILLMORE ST, Chicago, IL",41.8682831,-87.6996094
94,"053XX S HARPER AVE, Chicago, IL",41.7585469,-87.58733099999999
95,"015XX N LOREL AVE, Chicago, IL",41.9022039,-87.75954689999999
96,"013XX S FAIRFIELD AVE, Chicago, IL",41.8611013,-87.6943273
97,"089XX S COTTAGE GROVE AVE, Chicago, IL",41.7505052,-87.60529199999999
98,"012XX S SPAULDING AVE, Chicago, IL",41.80991059999999,-87.7064314
99,"028XX W MONTROSE AVE, Chicago, IL",41.9608288,-87.7384251
100,"010XX N AUSTIN BLVD, Chicago, IL",41.8942572,-87.77510529999999
101,"093XX S WABASH AVE, Chicago, IL",41.7740666,-87.6239578
102,"002XX N Michigan Ave, Chicago, IL",41.8987699,-87.6229168
103,"048XX W HIRSCH ST, Chicago, IL",41.9062537,-87.7288507
104,"130XX S EVANS AVE, Chicago, IL",41.7712933,-87.6069722
105,"016XX S HOMAN AVE, Chicago, IL",41.80990329999999,-87.7086557
106,"048XX W MONROE ST, Chicago, IL",41.880821,-87.629026
107,"001XX S MENARD AVE, Chicago, IL",41.8700078,-87.76940979999999
108,"012XX W PRATT BLVD, Chicago, IL",42.0051546,-87.6837194
109,"026XX E 80TH ST, Chicago, IL",41.7496613,-87.5861211
110,"074XX S CHAPPEL AVE, Chicago, IL",41.7448073,-87.57463849999999
111,"004XX N STATE ST, Chicago, IL",41.8838936,-87.6273976
112,"014XX S SACRAMENTO DR, Chicago, IL",41.8612665,-87.7021798
113,"104XX S KEDZIE AVE, Chicago, IL",41.7611892,-87.7027073
114,"062XX W GEORGE ST, Chicago, IL",41.9334989,-87.7368505
115,"013XX E 62ND ST, Chicago, IL",41.782294,-87.6035412
116,"038XX W CERMAK RD, Chicago, IL",41.8508084,-87.7737411
117,"023XX S LAKE SHORE DR E, Chicago, IL",41.8033479,-87.5816686
118,"002XX N WABASH AVE, Chicago, IL",41.888868,-87.626394
119,"005XX S JEFFERSON ST, Chicago, IL",41.8665633,-87.6431278
120,"077XX S GREENWOOD AVE, Chicago, IL",41.76586560000001,-87.5982701
121,"052XX S INGLESIDE AVE, Chicago, IL",41.7606407,-87.6017403
122,"078XX S WOOD ST, Chicago, IL",41.7877287,-87.66928589999999
123,"016XX W MADISON ST, Chicago, IL",41.8814343,-87.6500033
124,"014XX W 35TH ST, Chicago, IL",41.830417,-87.6728404
125,"082XX S COMMERCIAL AVE, Chicago, IL",41.7272129,-87.55144080000001
126,"051XX N TROY ST, Chicago, IL",41.9427399,-87.706498
127,"010XX S CANAL ST, Chicago, IL",41.8481568,-87.6383939
128,"038XX S SPAULDING AVE, Chicago, IL",41.80991059999999,-87.7064314
129,"050XX N KEDZIE AVE, Chicago, IL",41.9520984,-87.7079571
130,"005XX W MADISON ST, Chicago, IL",41.8818196,-87.6570283
131,"026XX W 24TH ST, Chicago, IL",41.8481475,-87.70390619999999
132,"017XX N WESTERN AVE, Chicago, IL",41.95036030000001,-87.68829029999999
133,"017XX W BELLE PLAINE AVE, Chicago, IL",41.95549949999999,-87.7456366
134,"049XX S KEDZIE AVE, Chicago, IL",41.7611892,-87.7027073
135,"052XX S NEWCASTLE AVE, Chicago, IL",41.7518936,-87.79131679999999
136,"068XX S EAST END AVE, Chicago, IL",41.8039626,-87.58543949999999
137,"006XX N WELLS ST, Chicago, IL",41.893802,-87.6342741
138,"043XX W GLADYS AVE, Chicago, IL",41.8762153,-87.7084169
139,"009XX W BELMONT AVE, Chicago, IL",41.9387617,-87.75176669999999
140,"005XX N WELLS ST, Chicago, IL",41.893802,-87.6342741
141,"023XX N Hamilton AVE, Chicago, IL",41.9677784,-87.6823953
142,"077XX S ASHLAND AVE, Chicago, IL",41.8008709,-87.6646754
143,"013XX W BARRY AVE, Chicago, IL",41.9373918,-87.6384174
144,"056XX S WESTERN AVE, Chicago, IL",41.7623591,-87.6831101
145,"067XX N SHERIDAN RD, Chicago, IL",41.9347039,-87.63901550000001
146,"069XX N GREENVIEW AVE, Chicago, IL",41.93156159999999,-87.6659597
147,"0000X S WACKER DR, Chicago, IL",41.8788764,-87.6359149
148,"020XX N KEDZIE AVE, Chicago, IL",41.9520984,-87.7079571
149,"0000X W TERMINAL ST, Chicago, IL",41.9741625,-87.9073214
150,"093XX S STEWART AVE, Chicago, IL",41.7917108,-87.6355427
151,"077XX S SANGAMON ST, Chicago, IL",41.74511140000001,-87.6475107
152,"026XX N MILWAUKEE AVE, Chicago, IL",41.9473987,-87.73743189999999
153,"007XX N Noble St, Chicago, IL",41.900382,-87.66271499999999
154,"009XX W WINONA ST, Chicago, IL",41.97473919999999,-87.6763634
155,"003XX E BENTON PL, Chicago, IL",41.88533030000001,-87.61882299999999
156,"016XX W BLACKHAWK ST, Chicago, IL",41.90893639999999,-87.6500217
157,"017XX W LE MOYNE ST, Chicago, IL",41.908041,-87.73946149999999
158,"036XX S ARTESIAN AVE, Chicago, IL",41.7952225,-87.6852966
159,"010XX N STATE ST, Chicago, IL",41.8838936,-87.6273976
160,"044XX W WASHINGTON BLVD, Chicago, IL",41.8827908,-87.70711209999999
161,"063XX S NARRAGANSETT AVE, Chicago, IL",41.7868467,-87.7816093
162,"038XX W 44TH ST, Chicago, IL",41.81378429999999,-87.69069429999999
163,"021XX W ARTHUR AVE, Chicago, IL",42.0003317,-87.66117580000001
164,"087XX S STONY ISLAND AVE, Chicago, IL",41.771685,-87.58663899999999
165,"021XX N MAGNOLIA AVE, Chicago, IL",41.9510201,-87.66049369999999
166,"028XX W LAKE ST, Chicago, IL",41.8852567,-87.6617234
167,"075XX S Stony Island Ave, Chicago, IL",41.771685,-87.58663899999999
168,"050XX S PRINCETON AVE, Chicago, IL",41.7585643,-87.6320642
169,"034XX W DIVERSEY AVE, Chicago, IL",41.93143389999999,-87.7539673
170,"0000X W 26TH ST, Chicago, IL",41.8453267,-87.6274339
171,"005XX N State St, Chicago, IL",41.8838936,-87.6273976
172,"014XX W HOWARD ST, Chicago, IL",42.0190084,-87.7455754
173,"015XX S RIDGEWAY AVE, Chicago, IL",41.8480041,-87.7185452
174,"003XX N PEORIA, Chicago, IL",41.8838077,-87.64942839999999
175,"006XX S WABASH AVE, Chicago, IL",41.7740666,-87.6239578
176,"005XX N MICHIGAN AVE, Chicago, IL",41.8987699,-87.6229168
177,"021XX W CONCORD PL, Chicago, IL",41.910543,-87.74634189999999
178,"001XX N MORGAN ST, Chicago, IL",41.8953499,-87.6533972
179,"038XX W 56TH PL, Chicago, IL",41.7905197,-87.72063759999999
180,"004XX W ST JAMES PL, Chicago, IL",41.9283457,-87.64082599999999
181,"012XX N CLYBOURN AVE, Chicago, IL",41.9213802,-87.6640548
182,"033XX W BEACH AVE, Chicago, IL",41.9073196,-87.7118211
183,"032XX N LAKE SHORE DR NB, Chicago, IL",41.9088432,-87.6268384
184,"024XX W HOMER ST, Chicago, IL",41.9166699,-87.6873203
185,"062XX N WAYNE AVE, Chicago, IL",41.9324964,-87.6623359
186,"032XX S CANAL ST, Chicago, IL",41.8481568,-87.6383939
187,"026XX N HALSTED ST, Chicago, IL",41.9160828,-87.6484419
188,"026XX W CORTEZ ST, Chicago, IL",41.9000982,-87.7093484
189,"033XX W PERSHING RD, Chicago, IL",41.8231148,-87.67019529999999
190,"017XX S WABASH AVE, Chicago, IL",41.7740666,-87.6239578
191,"068XX S EVANS AVE, Chicago, IL",41.7712933,-87.6069722
192,"060XX N RIDGE AVE, Chicago, IL",41.9890663,-87.6689364
193,"067XX S CALIFORNIA AVE, Chicago, IL",41.7863947,-87.6936046
194,"032XX W LELAND AVE, Chicago, IL",41.9665658,-87.71574650000001
195,"001XX N STATE ST, Chicago, IL",41.8929755,-87.6281037
196,"009XX W WAYMAN ST, Chicago, IL",41.8874601,-87.6468852
197,"104XX S CHURCH ST, Chicago, IL",41.705044,-87.656792
198,"053XX N MOBILE AVE, Chicago, IL",41.9607085,-87.78436289999999
199,"056XX N MAPLEWOOD AVE, Chicago, IL",41.9540525,-87.6920466
200,"075XX S MICHIGAN AVE, Chicago, IL",41.7637496,-87.62164589999999
201,"005XX W Arlington Pl, Chicago, IL",41.92672779999999,-87.64239150000002
202,"004XX W 104TH ST, Chicago, IL",41.7046953,-87.6729757
203,"022XX N SHEFFIELD AVE, Chicago, IL",41.9312218,-87.65381060000001
204,"001XX N WACKER DR, Chicago, IL",41.8853335,-87.63726299999999
205,"094XX S Ewing Ave, Chicago, IL",41.70240949999999,-87.5352702
206,"031XX N MILWAUKEE AVE, Chicago, IL",41.9473987,-87.73743189999999
207,"005XX E 32ND PL, Chicago, IL",41.8353362,-87.61140689999999
208,"008XX W LELAND AVE, Chicago, IL",41.9665658,-87.71574650000001
209,"020XX W CHICAGO AVE, Chicago, IL",41.8956094,-87.7016721
210,"022XX W WABANSIA AVE, Chicago, IL",41.9114794,-87.744098
211,"021XX E 97TH ST, Chicago, IL",41.7187896,-87.5764727
212,"015XX W PERSHING RD, Chicago, IL",41.8244474,-87.69053939999999
213,"047XX S PULASKI RD, Chicago, IL",41.7624058,-87.7221481
214,"0000X E IDA B WELLS DR, Chicago, IL",41.8758322,-87.6251103
215,"006XX W HARRISON ST, Chicago, IL",41.873796,-87.69609059999999
216,"010XX N CLARK ST, Chicago, IL",41.929555,-87.642547
217,"010XX N KINGSBURY ST, Chicago, IL",41.8990278,-87.6444211
218,"016XX W Estes Ave, Chicago, IL",42.0110974,-87.68605289999999
219,"0000X S RIVERSIDE PLZ, Chicago, IL",41.8786309,-87.6387652
220,"014XX N CICERO AVE, Chicago, IL",41.9470361,-87.7470632
221,"028XX W CULLERTON ST, Chicago, IL",41.8548649,-87.68082530000001
222,"001XX W RANDOLPH ST, Chicago, IL",41.88487540000001,-87.6604083
223,"033XX N HALSTED ST, Chicago, IL",41.9160828,-87.6484419
224,"0000X W C1 ST, Chicago, IL",41.8781136,-87.6297982
225,"100XX W OHARE ST, Chicago, IL",41.9781275,-87.88357169999999
226,"006XX W Barry Ave, Chicago, IL",41.9374474,-87.64341189999999
227,"046XX N RAVENSWOOD AVE, Chicago, IL",41.9738264,-87.67434019999999
228,"005XX N STATE ST, Chicago, IL",41.8838936,-87.6273976
229,"048XX N CLAREMONT AVE, Chicago, IL",41.904851,-87.6858541
230,"046XX W IRVING PARK RD, Chicago, IL",41.9528339,-87.7918662
231,"013XX E 52ND ST, Chicago, IL",41.8011391,-87.5899201
232,"003XX N CICERO AVE, Chicago, IL",41.9470361,-87.7470632
233,"003XX E Randolph St, Chicago, IL",41.8825524,-87.62255139999999
234,"001XX E ROOSEVELT RD, Chicago, IL",41.8675366,-87.62343609999999
235,"003XX S COLUMBUS DR, Chicago, IL",41.8757944,-87.6189483
236,"0000X E HUBBARD ST, Chicago, IL",41.8899494,-87.6274761
237,"003XX E RANDOLPH ST, Chicago, IL",41.8825524,-87.62255139999999
238,"006XX W HUBBARD ST, Chicago, IL",41.8903141,-87.6383692
239,"0000X E BALBO AVE, Chicago, IL",41.8721722,-87.61875049999999
240,"057XX N KENMORE AVE, Chicago, IL",41.9578811,-87.6562228
241,"027XX N Clybourn Ave, Chicago, IL",41.9213802,-87.6640548
242,"070XX N Ashland Blvd, Chicago, IL",42.0120891,-87.670172
243,"001XX N CANAL ST, Chicago, IL",41.88483400000001,-87.6396285
244,"001XX N Franklin St, Chicago, IL",41.8977952,-87.6352331
245,"002XX E JACKSON DR, Chicago, IL",41.8783275,-87.6206862
246,"021XX W CUYLER AVE, Chicago, IL",41.9550576,-87.6812077
247,"001XX N CLINTON ST, Chicago, IL",41.886064,-87.6413178
248,"001XX N JEFFERSON ST, Chicago, IL",41.885432,-87.643029
249,"001XX E IDA B WELLS DR, Chicago, IL",41.8758322,-87.6251103
250,"002XX S FRANKLIN ST, Chicago, IL",41.8788764,-87.6359149
251,"035XX W MC LEAN AVE, Chicago, IL",41.9187139,-87.67831919999999
252,"0000X N DEARBORN ST, Chicago, IL",41.88606,-87.62987210000001
253,"011XX W TAYLOR ST, Chicago, IL",41.8696287,-87.67150989999999
254,"059XX N KENNETH AVE, Chicago, IL",41.9522769,-87.73922879999999
255,"001XX W Hubbard st, Chicago, IL",41.88487540000001,-87.6604083
256,"008XX W LAWRENCE AVE, Chicago, IL",41.9679915,-87.750511
257,"005XX N Wells St, Chicago, IL",41.893802,-87.6342741
258,"006XX W OHIO ST, Chicago, IL",41.892112,-87.63207899999999
259,"021XX W 72ND PL, Chicago, IL",41.7621578,-87.6637658
260,"002XX W ERIE ST, Chicago, IL",41.8942221,-87.642276
261,"054XX S Ingleside Ave, Chicago, IL",41.7606407,-87.6017403
262,"070XX N ASHLAND BLVD, Chicago, IL",42.0120891,-87.670172
263,"054XX S KIMBARK AVE, Chicago, IL",41.76688679999999,-87.5941952
264,"012XX W FRY ST, Chicago, IL",41.8969859,-87.659487
265,"061XX S UNIVERSITY AVE, Chicago, IL",41.764219,-87.5970055
266,"0000X E MADISON ST, Chicago, IL",41.88210060000001,-87.6261912
267,"009XX W ROSCOE ST, Chicago, IL",41.9426187,-87.7359019
268,"075XX S STONY ISLAND AVE, Chicago, IL",41.771685,-87.58663899999999
269,"0000X N PEORIA ST, Chicago, IL",41.8838077,-87.64942839999999
270,"027XX N BOSWORTH AVE, Chicago, IL",41.9269817,-87.6670413
271,"021XX W BELMONT AVE, Chicago, IL",41.9387617,-87.75176669999999
272,"008XX W AGATITE AVE, Chicago, IL",41.96272949999999,-87.65234889999999
273,"033XX N PAULINA ST, Chicago, IL",41.9520032,-87.67142179999999
274,"0000X W MADISON ST, Chicago, IL",41.8806908,-87.6741759
275,"013XX N MOORMAN ST, Chicago, IL",41.9049181,-87.67048179999999
276,"049XX S KOMENSKY AVE, Chicago, IL",41.7677169,-87.7236947
277,"025XX W LYNDALE ST, Chicago, IL",41.9223777,-87.7022307
278,"020XX S Calumet Ave, Chicago, IL",41.766575,-87.61689009999999
279,"013XX N ASHLAND AVE, Chicago, IL",41.9519823,-87.6689237
280,"023XX W 103RD ST, Chicago, IL",41.7056656,-87.7343191
281,"010XX W IRVING PARK RD, Chicago, IL",41.9538903,-87.6865605
282,"009XX W GORDON TER, Chicago, IL",41.9578322,-87.64980090000002
283,"008XX N MICHIGAN AVE, Chicago, IL",41.8987699,-87.6229168
284,"011XX S DELANO CT W, Chicago, IL",41.8686119,-87.6324843
285,"019XX N LINCOLN AVE, Chicago, IL",41.9687939,-87.6883739
286,"017XX N LAWNDALE AVE, Chicago, IL",41.9532477,-87.72024619999999
287,"017XX E 56th St, Chicago, IL",41.7936328,-87.58329990000001
288,"016XX W FARWELL AVE, Chicago, IL",42.0064141,-87.6815113
289,"0000X E MONROE ST, Chicago, IL",41.8803066,-87.6267388
290,"052XX S GREENWOOD AVE, Chicago, IL",41.76586560000001,-87.5982701
291,"054XX S HYDE PARK BLVD, Chicago, IL",41.7947513,-87.5843914
292,"0000X S Mason Ave, Chicago, IL",41.7907288,-87.7707835
293,"053XX S Drexel Ave, Chicago, IL",41.7586127,-87.60289929999999
294,"026XX W Chicago Ave, Chicago, IL",41.8960417,-87.6513289
295,"023XX N Greenview Ave, Chicago, IL",41.93156159999999,-87.6659597
296,"034XX N ELAINE PL, Chicago, IL",41.9440823,-87.64748639999999
297,"0000X E 47TH ST, Chicago, IL",41.8096002,-87.6146472
298,"040XX N AVERS AVE, Chicago, IL",41.9409518,-87.7235522
299,"042XX N Lincoln Ave, Chicago, IL",41.9259211,-87.6498326
300,"025XX W IRVING PARK RD, Chicago, IL",41.9538197,-87.78766370000001
301,"063XX N SACRAMENTO AVE, Chicago, IL",41.958058,-87.7032512
302,"046XX N PAULINA ST, Chicago, IL",41.9520032,-87.67142179999999
303,"079XX S RHODES AVE, Chicago, IL",41.7401979,-87.6113998
304,"004XX W BELDEN AVE, Chicago, IL",41.922981,-87.695757
305,"043XX N RICHMOND ST, Chicago, IL",41.9503083,-87.7017834
306,"064XX N DAMEN AVE, Chicago, IL",41.9505032,-87.6786568
307,"013XX N Wells St, Chicago, IL",41.893802,-87.6342741
308,"006XX W DIVERSEY PKWY, Chicago, IL",41.9331637,-87.6385832
309,"085XX S CREGIER AVE, Chicago, IL",41.7334131,-87.58047
310,"010XX W VAN BUREN ST, Chicago, IL",41.8761768,-87.6511848
311,"100XX S ABERDEEN ST, Chicago, IL",41.7450634,-87.6511615
312,"037XX W AINSLIE ST, Chicago, IL",41.9702268,-87.7134043
313,"033XX W EASTWOOD AVE, Chicago, IL",41.965715,-87.6912397
314,"031XX W ROSCOE ST, Chicago, IL",41.9426187,-87.7359019
315,"015XX W ELMDALE AVE, Chicago, IL",41.9908514,-87.6651751
316,"029XX N ALLEN AVE, Chicago, IL",41.9342338,-87.714939
317,"0000X E Ohio St, Chicago, IL",41.8918633,-87.6050944
318,"078XX S DR MARTIN LUTHER KING JR DR, Chicago, IL",41.7693301,-87.61536319999999
319,"024XX N CLARK ST, Chicago, IL",41.9489777,-87.6579379
320,"006XX W 111TH ST, Chicago, IL",41.6905948,-87.7628833
321,"024XX N CANNON DR, Chicago, IL",41.9295169,-87.6359434
322,"020XX W HURON ST, Chicago, IL",41.8937365,-87.70402899999999
323,"017XX N HOYNE AVE, Chicago, IL",41.95046620000001,-87.6810788
324,"049XX N KEDZIE AVE, Chicago, IL",41.9520984,-87.7079571
325,"017XX W WEBSTER AVE, Chicago, IL",41.9216511,-87.6595559
326,"028XX N PINE GROVE AVE, Chicago, IL",41.9400504,-87.6419693
327,"082XX S WOOD ST, Chicago, IL",41.7877287,-87.66928589999999
328,"002XX E ILLINOIS ST, Chicago, IL",41.8910154,-87.61988520000001
329,"039XX W EDDY ST, Chicago, IL",41.9452728,-87.7469699
330,"033XX W EVERGREEN AVE, Chicago, IL",41.9060349,-87.67590229999999
331,"041XX S DREXEL BLVD, Chicago, IL",41.8120454,-87.6044122
332,"002XX W Van Buren St, Chicago, IL",41.8763319,-87.6537695
333,"022XX N BISSELL ST, Chicago, IL",41.91811269999999,-87.65214490000001
334,"037XX N HALSTED ST, Chicago, IL",41.9160828,-87.6484419
335,"011XX W CORNELIA AVE, Chicago, IL",41.9444139,-87.7396399
336,"0000X S CLINTON ST, Chicago, IL",41.874878,-87.64167499999999
337,"038XX N SHEFFIELD AVE, Chicago, IL",41.9312218,-87.65381060000001
338,"022XX W MELROSE ST, Chicago, IL",41.9409182,-87.6404124
339,"039XX N WESTERN AVE, Chicago, IL",41.95036030000001,-87.68829029999999
340,"048XX N KENMORE AVE, Chicago, IL",41.9578811,-87.6562228
341,"017XX W FULLERTON AVE, Chicago, IL",41.9244358,-87.7341124
342,"046XX W DIVERSEY AVE, Chicago, IL",41.93143389999999,-87.7539673
343,"061XX N FAIRFIELD AVE, Chicago, IL",41.91018,-87.69575449999999
344,"057XX W Eastwood Ave, Chicago, IL",41.965715,-87.6912397
345,"001XX W MADISON ST, Chicago, IL",41.8806908,-87.6741759
346,"006XX W Drummond PL, Chicago, IL",41.9304434,-87.6445028
347,"002XX W 63RD ST, Chicago, IL",41.7787791,-87.71540309999999
348,"011XX N CLARK ST, Chicago, IL",41.9739111,-87.66849599999999
349,"002XX S CANAL ST, Chicago, IL",41.8719419,-87.6399506
350,"096XX S BISHOP ST, Chicago, IL",41.7640337,-87.6605599
351,"068XX S RIDGELAND AVE, Chicago, IL",41.7487658,-87.58163540000001
352,"001XX N MICHIGAN AVE, Chicago, IL",41.8987699,-87.6229168
353,"011XX W DICKENS AVE, Chicago, IL",41.9189782,-87.72843929999999
354,"090XX S BLACKSTONE AVE, Chicago, IL",41.76593949999999,-87.5885509
355,"062XX N MAGNOLIA AVE, Chicago, IL",41.9510201,-87.66049369999999
356,"007XX S SEELEY AVE, Chicago, IL",41.7884262,-87.6753739
357,"022XX N CALIFORNIA AVE, Chicago, IL",41.9596407,-87.6986264
358,"058XX N LINCOLN AVE, Chicago, IL",41.9550928,-87.67942049999999
359,"087XX W Higgins Rd, Chicago, IL",41.9855138,-87.84118989999999
360,"029XX N HARLEM AVE, Chicago, IL",41.9531494,-87.8072677
361,"055XX S EVERETT AVE, Chicago, IL",41.7941475,-87.5825162
362,"078XX S CHAPPEL AVE, Chicago, IL",41.7448073,-87.57463849999999
363,"008XX N HALSTED ST, Chicago, IL",41.9160828,-87.6484419
364,"0000X E OHIO ST, Chicago, IL",41.8918633,-87.6050944
365,"016XX N SEDGWICK ST, Chicago, IL",41.90924649999999,-87.63854909999999
366,"008XX N Hermitage Ave, Chicago, IL",41.9524026,-87.6725821
367,"010XX N RUSH ST, Chicago, IL",41.8905127,-87.62600909999999
368,"003XX N WELLS ST, Chicago, IL",41.893802,-87.6342741
369,"067XX S LAFLIN ST, Chicago, IL",41.8623781,-87.6638909
